"","major","year_in_school","vote_status_2018","vote_status_2016","vote_intention_2020","voter_identity","feelings_on_voter_importance","desire_to_be_more_engaged","feelings_on_STEM_turnout","free_response","given_turnout_explanation","STEM_representation_better_gov","stem_dummy"
"761","M E","Undergraduate, 1st year","No","Was not eligible","No","No","Somewhat agree","No","No","Stem be hard","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"762","M E","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Neither agree nor disagree","No","No","We know the facts. The systems full of ignorant people who will say anything to get elected. Politics is a bigger joke than anything else in this country. ","The belief that government and who is elected to it aren't important","Probably not","Stem"
"763","M E","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"764","M E","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Neither agree nor disagree","No","Yes","I don’t pay attention to politics so if I don’t vote it’s because I don’t have a educated opinion on candidates","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"765","M E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","No","I don't know","Lack of time due to course load,The belief that government and who is elected to it aren't important","Definitely yes","Stem"
"766","M E","Undergraduate, 5th year or later","No","Yes","Yes","Yes","Somewhat agree","No","No","They dont think it effects them","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"767","M E","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","Generally More Introverted ","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"768","M E","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","They do not have as great of a humanities background.","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"769","M E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Somewhat agree","Yes","Yes","Don’t think it’s worth their time?","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Might or might not","Stem"
"770","M E","Undergraduate, 3rd year","Yes","Yes","Yes","No","Strongly Agree","Yes","No","they have enough to worry about without slapping on an election, and doing proper research on the candidates","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"771","M E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","I think the voting rate is so low because STEM majors typically aren't concerned with a lot of the slandering that goes into politics and it makes it hard to actually know what the candidates are really about when all that the media portrays is the candidates bashing on each other.","Lack of time due to course load","Definitely yes","Stem"
"772","M E","Transferred, undergraduate - equivalent to 3rd year or later","Yes","Yes","Yes","Yes","Strongly Agree","No","No","Because their interest areas do not overlap as directly with civil issues. They are not as interested in civil issue and more often choose not to engage with them.","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Probably yes","Stem"
"773","M E","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","No","No","The type of people. Maybe busy","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"774","M E","Undergraduate, 3rd year","No","Was not eligible","Yes","Yes","Somewhat agree","No","No","STEM majors tend to be more libertarianly inclined and at younger ages probably don’t care as much about the specifics of who is in charge of the government. At this point in our lives, it makes sense to me that most STEM majors don’t care a whole lot about the government as long as they don’t notice it.","The belief that government and who is elected to it aren't important","Probably yes","Stem"
"775","M E","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","STEM majors have more to deal with in terms of academics, clubs, and career development than other majors. STEM majors are also likely not as informed on the political scene and system of today as majors more related to the political sciences.","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"776","M E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Less awareness of political process?","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"777","M E","Undergraduate, 3rd year","No","Was not eligible","Yes","Yes","Strongly Agree","No","No","Stem majors arnt typically ","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"778","M E","Transferred, undergraduate - equivalent to 1st or 2nd year","Was not eligible","Was not eligible","Yes","Yes","Somewhat agree","No","No","Isn’t the most important thing in their life with limited time.","Lack of time due to course load","Might or might not","Stem"
"779","M E","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","Not sure","The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"780","M E","Undergraduate, 2nd year","No","Was not eligible","Yes","No","Somewhat agree","Yes","Yes","","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Probably not","Stem"
"781","M E","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Lack of time ","Lack of time due to course load","Definitely yes","Stem"
"782","M E","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","The intense nature of STEM majors makes us students feel as if we’re disconnected from the real world at times","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"783","M E","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Somewhat agree","No","Yes","","Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"784","M E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","","Lack of discussion on these topics in classes","Definitely yes","Stem"
"785","M E","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","Maybe students in STEM majors don't care as much about politics","The belief that government and who is elected to it aren't important","Might or might not","Stem"
"786","M E","Undergraduate, 3rd year","Was not eligible","Was not eligible","No","No","Somewhat disagree","No","No","High paying jobs ahead","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"787","M E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Look at voting as not benefical due to big numbers of voters.","The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"788","M E","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Somewhat agree","Yes","No","Engineer have to much classwork on their plate so voting isn't a priority when compared doing better in a class.","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"789","M E","Undergraduate, 3rd year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","","The belief that government and who is elected to it aren't important","Might or might not","Stem"
"790","M E","Undergraduate, 4th year","No","Yes","Yes","Yes","Somewhat agree","Yes","Yes","Low interest","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"791","M E","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Somewhat agree","No","No","I think us more science minded people realize that politicians are just greedy and don’t care about science, I think this could contribute to that idea. Lack of scientists is a problem in our government ","The belief that government and who is elected to it aren't important","Definitely yes","Stem"
"792","M E","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","Very busy schedules","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"793","M E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Lack of choice in candidates","The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"794","M E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Maybe the classes they take focus less on social issues","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"795","M E","Undergraduate, 4th year","No","Yes","Yes","Yes","Strongly Agree","Yes","Yes","Most politicians say gibberish to get people to like them and stem majors see through the bullshit.","The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"796","M E","Undergraduate, 4th year","No","Yes","Yes","Yes","Strongly Agree","Yes","No","People are too busy and focused on school that we don’t have time to research candidates, so we don’t vote if we don’t know about the candidates.","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"797","M E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","No","Strongly Agree","No","No","We always seem busy","Lack of time due to course load","Might or might not","Stem"
"798","M E","Undergraduate, 3rd year","Yes","No","Yes","Yes","Somewhat agree","No","No","While I will be voting, I personally feel I have more interesting things to attend to, and would rather avoid politics at any cost.","Lack of time due to course load","Might or might not","Stem"
"799","M E","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","I believe that many in the stem field think that their vote may not affect things in the larger picture. Perhaps politics as a whole is uninteresting to them.","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"800","M E","Undergraduate, 4th year","No","No","No","No","Neither agree nor disagree","No","No","Personally it's because we have little reason to vote. We aren't invested in anything, school prices won't be lowered until I'm done. No real reason to vote.","The belief that government and who is elected to it aren't important","Might or might not","Stem"
"801","M E","Undergraduate, 3rd year","No","Was not eligible","Yes","No","Somewhat agree","Yes","No","","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"802","M E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Somewhat agree","No","Yes","Voter apathy","The belief that government and who is elected to it aren't important","Might or might not","Stem"
"803","M E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Somewhat agree","No","No","From speaking with my peers, most did not put much emphasis on voting, or simply hadn't heard of most of the candidates. Additionally, since many are from states beside Iowa, they will vote absentee or simply don't want to register in Iowa. ","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"804","M E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","They do not care as much as other majors might","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"805","M E","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","Maybe STEM majors don't prioritize voting that high.","Lack of time due to course load,The belief that government and who is elected to it aren't important","Probably yes","Stem"
"806","M E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Lack of time, lack of political interest","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"807","M E","Undergraduate, 4th year","No","Yes","Yes","Yes","Neither agree nor disagree","Yes","Yes","Busier schedule ","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"808","M E","Undergraduate, 5th year or later","Yes","Yes","Yes","Yes","Strongly Agree","No","No","We try to solve black and white issues. The average STEM student may be more likely to be put off by the sheer quantity of noise surrounding US politics.","The belief that government and who is elected to it aren't important","Definitely yes","Stem"
"809","M E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","Anti-socialness among those majors could be the cause of a lack of discussion of politics among the people in those majors leading to less importance and less voted turnout.","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Definitely yes","Stem"
"810","M E","Undergraduate, 2nd year","No","No","No","No","Somewhat agree","No","No","they're busy ","Lack of time due to course load","Definitely yes","Stem"
"811","M E","Transferred, undergraduate - equivalent to 3rd year or later","No","Yes","No","No","Neither agree nor disagree","No","No","STEM majors are more demanding of their students than others, making it difficult for them to make any additional time or effort for politics.","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"812","M E","Undergraduate, 1st year","Yes","No","Yes","Yes","Somewhat agree","No","No","Because they know that because of the electorial college, individual votes dont matter ","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"813","M E","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","Lack of interest","","Definitely yes","Stem"
"814","M E","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Because many of us are busy with other projects or exams that the election can pass us by without realizing it.","Lack of time due to course load","Definitely yes","Stem"
"815","M E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","(I think both those numbers are very low) theres many possibilities why this is the case though, for one stem majors tend to have a more time intensive work load in comparison to other majors, we also have a lot more job security than many liberal arts type majors so we might not care so much about the social climate because it wont directly affect us (and lets be real science-y people are cold hearted and lacking in empathy so the chance that we are voting for the greater good over our own interests is low), I think the biggest factor could be that many of us don't take any classes where we talk about opinion, policy, or current events for us it is all facts and analytics all the time so we arent even thinking about varying thoughts on social issues. also the political climate today can be very alienating and all the conflict and argument can really turn someone off to politics regardless of their major ","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"816","M E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Neither agree nor disagree","No","No","Because we're busy  ","Lack of time due to course load,The belief that government and who is elected to it aren't important","Definitely yes","Stem"
"817","M E","Undergraduate, 2nd year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Less concerned about politics than ISU student probably. ","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"818","M E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","People care more about their classes & don't have time to go vote since STEM majors have plentiful work to complete","Lack of time due to course load","Definitely yes","Stem"
"819","MAT E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Neither agree nor disagree","No","No","We don’t give a shit about politics. ","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"820","MAT E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Many STEM majors believe they don’t have enough time for civil duties such as voting, and are more focused on their studies and careers.","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"821","MAT E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","Homework/Workload, lack of rational-level discourse in politics(often emotion-based)","Lack of time due to course load","Probably yes","Stem"
"822","MAT E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","--","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Definitely yes","Stem"
"823","MAT E","Undergraduate, 1st year","Yes","Was not eligible","Yes","No","Somewhat agree","No","No","Too busy and don't have time to study candidates to make an informed decision","Lack of time due to course load,Lack of discussion on these topics in classes","Might or might not","Stem"
"824","MAT E","Transferred, undergraduate - equivalent to 3rd year or later","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","Distraction/Forgot","The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"825","MATH","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","No","No","STEM students likely have fuller schedules and more homework to complete, leaving them with less time to go to the polls. ","Lack of time due to course load","Might or might not","Stem"
"826","MATH","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Somewhat agree","No","No","politics/ethics/morals aren’t talked about as much in those majors ","Lack of time due to course load,Lack of discussion on these topics in classes","Might or might not","Stem"
"827","MATH","Undergraduate, 3rd year","No","Was not eligible","No","No","Neither agree nor disagree","No","No","Dissillusionment","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"828","MATH","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","Yes","","Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"829","MATH","Undergraduate, 3rd year","No","Yes","Yes","No","Strongly Agree","No","No","Low interest","","Definitely yes","Stem"
"830","MATH","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","STEM majors are considered more difficult and time consuming than other majors. Perhaps this lack of free time is a factor. However, I also think it may be because STEM classes speak less about the political process than other majors","Lack of time due to course load,Lack of discussion on these topics in classes","Probably yes","Stem"
"831","MATH","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","Stem majors may not be as inclined to be involved or aware of civic activities such as voting. Liberal arts type majors may offer more learning opportunities about the importance of voting and encourage those students to do so. ","Lack of discussion on these topics in classes","Probably yes","Stem"
"832","MATH","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","A lack of empathy for less-advantaged citizens, a lack of desire to concern oneself with news & politics because it is “less important” than rigorous scientific pursuits, confining oneself to social groups that are like-minded and less active politically, etc. Additionally, a high proportion of white males in STEM contributes to a lower incentive to be civicallly-engaged. White males see no problems with the status-quo with respect to their social standing and quality of life.","Lack of discussion on these topics in classes","Probably yes","Stem"
"833","MATH","Undergraduate, 3rd year","No","No","No","No","Strongly disagree","No","No","Politics is not interesting ","The belief that government and who is elected to it aren't important","Definitely not","Stem"
"834","MATH","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","I think they think they are too busy or that it doesn't effect them. That voting and all that stuff is the job of humanities majors. They would never say this, but I think that's part of it.","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"835","MATH","Undergraduate, 3rd year","Yes","Yes","Yes","Yes","Somewhat agree","No","No","Preferred candidates are shamed and do not make it far in the election process","Lack of time due to course load","Definitely yes","Stem"
"836","MATH","Undergraduate, 3rd year","Yes","Yes","Yes","Yes","Strongly Agree","No","No","Many are unsatisfied with the candidates or don't have compelling political opinions/lack interest","The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"837","MATH","Transferred, undergraduate - equivalent to 3rd year or later","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Tend not to be as engaged in social issues as humanities issues, have less contact with politics in class, not as commonly discussed among peers who are also STEM majors","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"838","MATH","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","Don’t have time to go to the polls","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"839","MATH","Undergraduate, 1st year","Was not eligible","Was not eligible","No","No","Somewhat disagree","No","No","Politics is garbage","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely not","Stem"
"840","MATH","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","No","I'd imagine that social sciences vote the most, so I think that plays a factor in it. ","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Might or might not","Stem"
"841","MATH","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","People may think they’re too busy","Lack of time due to course load,Lack of discussion on these topics in classes","Might or might not","Stem"
"842","MATH","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Somewhat agree","Yes","No","Socialization ","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"843","MATH","Undergraduate, 2nd year","No","Was not eligible","Yes","No","Somewhat agree","Yes","No","","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"844","MATH","Undergraduate, 5th year or later","No","Yes","Yes","Yes","Strongly Agree","No","No","","The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"845","MATH","Undergraduate, 1st year","No","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","They find themselves to be busy","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"846","MATH","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Strongly Agree","Yes","No","A lack of connection to main stream media.","","Might or might not","Stem"
"857","MICR","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","No","They don't take asany political classes and aren't therefore forced to think about these things","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Definitely yes","Stem"
"858","MICR","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","We are more busy. We also do not take as many classes that focus on current events. It takes a lot of effort to be informed.","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"859","MICR","Undergraduate, 2nd year","Yes","No","Yes","Yes","Strongly Agree","No","Yes","Students are busy and maybe not as passionate about voting","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"860","MICR","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","","Lack of time due to course load,Lack of discussion on these topics in classes","Probably yes","Stem"
"861","MICR","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","People who're passionate about STEM generally don't hear much about it from candidates on the campaign trail. (besides Yang)","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"862","MICR","Undergraduate, 1st year","Yes","Was not eligible","No","No","Neither agree nor disagree","No","Yes","too busy studying to go vote","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"863","MICR","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Most STEM majors don't really think the government has that big of an impact on their lives. Plus they're more introverted and self centered.","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"864","MICR","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","No","We're a little too dedicated to our studies, so we don't have much time to do much else. I know that I haven't been paying close enough attention to what is going on politically right now to choose a candidate that I like.","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"894","MTEOR","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","STEM majors probably see it as something outside of their area of interest as they can see it as not directly relating to their areas of interest but voting has a huge effect on everyone. ","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Probably yes","Stem"
"895","MTEOR","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Perhaps the rigor of courses has kept them distracted in regard to our Nation’s political climate, making them feel as if their voice should have less say as far as voting goes.","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"896","MTEOR","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Busy. ","Lack of time due to course load,Lack of discussion on these topics in classes","Probably yes","Stem"
"897","MTEOR","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","Not a clue","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"904","NS A","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Maybe it's because we get so much homework and we don't have time to understand politics for ourselves -- and not what someone is trying to push down our throats-- that we don't feel necessarily competent to vote for anything confidently.","Lack of time due to course load,Lack of discussion on these topics in classes","Probably yes","Stem"
"921","P IND","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Strongly Agree","No","No","They are too busy working","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Probably yes","Stem"
"932","PHYS","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","","Lack of discussion on these topics in classes","Definitely yes","Stem"
"933","PHYS","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Somewhat agree","Yes","No","Not as politically driven","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Probably yes","Stem"
"934","PHYS","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","a lot of us are more focused on stem than politics","Lack of time due to course load","Probably yes","Stem"
"935","PHYS","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","No","They may be more concerned about systems of technology, as opposed to systems of people. Additionally, they may not be as concerned about traditions and societal expectations, which may also contribute.","","Might or might not","Stem"
"936","PHYS","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Lack of education/motivation to get educated about voting/our government","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"937","PHYS","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Somewhat agree","No","No","","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"1001","S E","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","No interest in politics; politics is illogical (based on opinion or emotion) but STEM is built on logic (based on facts and truths).","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"1002","S E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","Not a lot of time to register and go","Lack of time due to course load","Definitely yes","Stem"
"1003","S E","Undergraduate, 2nd year","No","Was not eligible","Yes","No","Somewhat agree","Yes","No","Politics don’t matter to STEM majors, we just want to get a good job, make money, and die. No matter the current economy there will always be a need for us. ","The belief that government and who is elected to it aren't important","Definitely yes","Stem"
"1004","S E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","When discussing voting with peers, many claimed they were ""too busy"" to keep up with politics of go to the polling station. I thought it was a dumb excuse. ","Lack of time due to course load,The belief that government and who is elected to it aren't important","Probably yes","Stem"
"1005","S E","Undergraduate, 4th year","No","Yes","Yes","No","Somewhat agree","No","No","Most of STEM people are quiet nerds. Ames is full of loud, far-left people that we could give 2 shits about.","The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"1006","S E","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Somewhat agree","No","No","Because STEM majors are more likely to be adapt to their current situations and do not feel compelled to change their environment but instead themselves.","Lack of time due to course load,The belief that government and who is elected to it aren't important","Might or might not","Stem"
"1007","S E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Somewhat agree","Yes","Yes","Maybe their major is just more disconnected from the political scene than others? I'm not too sure why.","Lack of discussion on these topics in classes","Probably yes","Stem"
